Age,sport_engagement,Gender,CGPA,academic_workload,Academic_pressure,Anxiety,average_sleep,Diet_Quality,Social_relationships,Financial_pressure,Extracurricular_Involvement,Residence_Type,current_academic_year
20,1,Male,2.85,4,3,5,4-6hrs,3,3,3,3,Off-Campus,3
18,1,Female,3.7,5,1,2,4-6hrs,3,3,1,1,Off-Campus,1
23,2,Male,2.91,1,2,1,7-8hrs,3,3,5,5,On-Campus,2
27,4,Male,3.38,4,4,3,7-8hrs,3,1,1,1,Off-Campus,4
30,1,Male,3.41,1,3,1,4-6hrs,1,1,5,5,On-Campus,3
26,2,Male,3.99,4,2,2,4-6hrs,1,3,1,3,With Family,2
20,1,Male,3.81,5,1,2,4-6hrs,3,1,0,3,With Family,1
21,5,Female,3.07,1,5,1,4-6hrs,1,5,3,3,With Family,5
21,1,Female,3.82,2,1,4,7-8hrs,3,3,0,3,On-Campus,1
26,2,Male,3.35,4,2,3,4-6hrs,3,5,0,3,On-Campus,2
21,5,Male,3.71,4,5,3,4-6hrs,3,3,5,3,With Family,5
29,1,Female,3.3,3,1,1,7-8hrs,5,3,5,1,On-Campus,1
18,1,Male,3.48,2,1,1,4-6hrs,1,3,5,3,On-Campus,1
28,1,Male,3.73,1,3,4,4-6hrs,3,3,5,3,On-Campus,2
32,5,Male,3.39,3,5,2,4-6hrs,1,3,4,3,On-Campus,5
27,5,Male,3.42,1,5,3,4-6hrs,3,5,1,3,Off-Campus,5
26,1,Female,3.55,1,3,5,7-8hrs,5,1,2,3,On-Campus,3
22,5,Male,2.94,2,5,4,4-6hrs,1,1,0,3,On-Campus,5
20,1,Male,3.25,5,1,4,7-8hrs,3,1,0,1,Off-Campus,1
18,1,Female,3.81,5,3,3,4-6hrs,1,3,0,1,On-Campus,3
26,1,Male,3.93,4,3,5,1-3hrs,3,3,0,3,With Family,3
21,5,Female,3.36,4,5,1,4-6hrs,5,5,1,3,With Family,5
19,1,Female,3.12,1,3,5,7-8hrs,1,3,0,3,With Family,3
25,1,Female,3.87,5,3,2,7-8hrs,3,1,2,3,On-Campus,3
20,2,Female,3.67,4,2,1,4-6hrs,3,5,0,3,Off-Campus,2
18,1,Female,3.39,3,3,3,4-6hrs,5,3,1,3,On-Campus,2
22,2,Male,3.91,4,2,2,7-8hrs,3,5,0,1,On-Campus,2
25,1,Male,3.8,2,3,5,4-6hrs,5,3,4,3,With Family,3
24,1,Male,3.56,3,3,1,4-6hrs,3,1,4,3,Off-Campus,3
23,1,Male,3.49,4,1,4,1-3hrs,3,5,5,1,On-Campus,1
24,1,Female,3.75,1,1,2,4-6hrs,5,5,2,3,With Family,1
20,5,Male,3.06,4,5,3,4-6hrs,3,3,2,1,Off-Campus,5
22,4,Male,3.43,2,4,1,7-8hrs,3,3,5,1,On-Campus,4
24,4,Female,3.28,5,4,1,7-8hrs,3,5,3,1,On-Campus,4
22,2,Male,3.11,3,2,3,4-6hrs,3,3,4,5,On-Campus,2
23,2,Female,2.85,4,2,4,4-6hrs,5,3,4,1,On-Campus,2
25,1,Female,3.19,3,3,1,7-8hrs,3,3,4,3,On-Campus,2
30,2,Female,3.8,2,2,3,4-6hrs,3,5,2,1,On-Campus,2
22,1,Male,3.58,2,1,4,4-6hrs,3,3,1,1,Off-Campus,1
18,1,Female,3.61,1,3,1,7-8hrs,3,5,2,3,On-Campus,3
25,1,Female,3.11,4,1,5,7-8hrs,3,5,0,3,On-Campus,1
19,2,Female,3.71,2,2,2,4-6hrs,3,3,4,3,With Family,2
26,1,Male,3.81,2,3,4,1-3hrs,3,3,5,5,Off-Campus,2
32,4,Male,3.26,2,4,1,7-8hrs,3,3,0,5,On-Campus,4
22,2,Female,3.22,1,2,1,4-6hrs,5,3,1,3,On-Campus,2
22,5,Female,3.21,3,5,1,7-8hrs,1,3,0,3,With Family,5
18,1,Male,3.6,4,3,2,4-6hrs,1,3,4,5,Off-Campus,2
19,1,Female,4,3,1,3,7-8hrs,3,5,4,1,Off-Campus,1
19,1,Female,3.34,1,3,4,1-3hrs,3,5,3,1,On-Campus,2
19,1,Female,3.33,4,1,2,4-6hrs,1,5,4,3,Off-Campus,1
26,1,Female,3.5,4,1,1,7-8hrs,1,5,2,3,Off-Campus,1
24,5,Male,3.13,2,5,1,7-8hrs,5,3,2,5,On-Campus,5
27,1,Male,3.69,2,3,3,7-8hrs,1,3,2,1,On-Campus,2
22,2,Male,3.62,3,2,3,7-8hrs,3,5,5,3,With Family,2
31,1,Male,3.08,4,3,1,7-8hrs,5,3,4,1,On-Campus,2
22,2,Male,3.98,4,2,1,7-8hrs,3,3,3,3,With Family,2
26,1,Male,3.47,3,3,2,1-3hrs,3,3,1,1,Off-Campus,3
19,2,Female,3.47,1,2,1,7-8hrs,1,5,4,3,On-Campus,2
24,2,Female,3.49,5,2,2,4-6hrs,1,5,5,5,Off-Campus,2
27,1,Male,3.49,5,3,1,7-8hrs,5,5,3,3,On-Campus,3
19,1,Male,3.63,5,3,4,7-8hrs,3,3,3,5,With Family,3
29,5,Female,3.05,5,5,3,4-6hrs,1,3,3,3,Off-Campus,5
19,1,Female,2.98,5,1,1,7-8hrs,3,1,0,3,Off-Campus,1
20,1,Female,3.28,4,1,1,4-6hrs,3,5,0,5,With Family,1
22,1,Female,3.24,3,3,3,7-8hrs,3,3,0,3,Off-Campus,2
22,5,Female,2.92,2,5,1,7-8hrs,5,1,5,3,Off-Campus,5
19,2,Male,3.4,5,2,2,7-8hrs,3,3,5,3,Off-Campus,2
25,5,Male,3.08,1,5,5,4-6hrs,1,5,4,3,On-Campus,5
25,5,Male,3.91,2,5,2,1-3hrs,5,3,1,3,On-Campus,5
28,2,Female,3.53,3,2,2,7-8hrs,3,3,3,1,Off-Campus,2
20,1,Male,3.07,4,3,1,1-3hrs,3,5,2,3,Off-Campus,2
21,4,Male,3.82,1,4,1,7-8hrs,3,1,0,1,Off-Campus,4
25,1,Female,3.15,2,1,3,4-6hrs,5,1,4,5,With Family,1
19,2,Female,3.53,3,2,5,7-8hrs,3,5,4,5,Off-Campus,2
29,1,Female,3.39,5,1,1,4-6hrs,1,5,2,1,Off-Campus,1
31,2,Male,3.38,4,2,3,7-8hrs,1,3,2,3,Off-Campus,2
19,1,Female,2.79,4,1,4,4-6hrs,1,3,4,1,Off-Campus,1
26,5,Female,3.34,3,5,3,7-8hrs,3,1,1,5,With Family,5
22,1,Female,3.24,3,3,1,4-6hrs,3,3,2,1,On-Campus,2
30,1,Female,3.01,5,3,1,7-8hrs,5,3,1,1,On-Campus,2
22,1,Female,3.7,3,3,4,7-8hrs,5,5,2,3,With Family,2
24,1,Male,3.52,4,3,4,4-6hrs,3,3,5,3,Off-Campus,3
21,1,Female,3.37,3,3,3,4-6hrs,3,5,5,1,Off-Campus,2
21,1,Female,3.26,1,3,1,4-6hrs,3,1,3,1,Off-Campus,3
21,2,Male,3.35,2,2,1,4-6hrs,3,1,2,3,On-Campus,2
21,1,Female,3.63,2,1,2,4-6hrs,1,5,4,1,Off-Campus,1
26,5,Female,3.63,5,5,1,7-8hrs,3,1,0,3,On-Campus,5
23,4,Male,3.63,1,4,3,1-3hrs,3,1,3,3,With Family,4
18,1,Male,3.13,3,3,4,4-6hrs,3,5,0,3,On-Campus,3
21,1,Female,3.72,2,3,1,7-8hrs,3,1,4,3,Off-Campus,2
26,1,Male,3.49,4,3,3,7-8hrs,5,3,5,1,Off-Campus,2
23,2,Male,3.83,1,2,5,7-8hrs,5,3,3,1,Off-Campus,2
19,1,Female,3.54,4,1,2,7-8hrs,3,3,3,3,Off-Campus,1
25,2,Male,3.93,3,2,2,4-6hrs,3,3,0,3,On-Campus,2
22,1,Male,3.16,3,3,1,4-6hrs,1,5,4,5,On-Campus,2
26,4,Male,3.23,4,4,5,4-6hrs,3,3,1,3,Off-Campus,4
23,1,Female,3.78,1,3,5,4-6hrs,5,3,2,3,Off-Campus,3
18,1,Male,3.84,1,3,1,7-8hrs,1,3,1,1,On-Campus,3
20,2,Female,3.81,4,2,3,4-6hrs,3,3,1,3,Off-Campus,2
28,5,Male,3.47,4,5,5,7-8hrs,3,3,1,3,With Family,5
29,4,Male,3.5,4,4,3,7-8hrs,3,5,4,5,On-Campus,4
20,4,Male,3.37,4,4,1,7-8hrs,3,5,0,3,On-Campus,4
18,4,Female,3.72,5,4,5,4-6hrs,3,1,1,3,On-Campus,4
19,1,Male,3.6,4,3,1,4-6hrs,3,5,4,3,On-Campus,2
24,2,Male,3.42,1,2,2,4-6hrs,3,3,0,1,With Family,2
20,2,Female,3.79,2,2,1,1-3hrs,3,5,5,1,Off-Campus,2
22,2,Male,4,4,2,4,4-6hrs,3,3,2,3,Off-Campus,2
20,1,Male,3.57,5,3,2,7-8hrs,5,1,3,3,Off-Campus,2
21,4,Male,3.14,3,4,1,1-3hrs,3,1,1,1,With Family,4
21,1,Female,3.86,5,1,1,7-8hrs,3,3,0,3,On-Campus,1
23,4,Female,3.37,4,4,2,7-8hrs,3,5,1,3,On-Campus,4
21,4,Male,3.3,4,4,1,7-8hrs,3,3,2,5,On-Campus,4
25,2,Female,3.46,4,2,2,7-8hrs,3,3,1,1,With Family,2
26,2,Male,3.6,2,2,2,7-8hrs,3,3,4,3,On-Campus,2
35,1,Male,3.71,4,1,1,7-8hrs,3,3,3,1,On-Campus,1
26,5,Female,3.19,3,5,1,1-3hrs,3,3,2,1,Off-Campus,5
28,1,Male,3.87,5,3,1,4-6hrs,3,1,2,3,Off-Campus,3
22,1,Male,3.07,3,3,1,7-8hrs,1,3,0,5,On-Campus,2
24,1,Female,3.15,1,3,2,4-6hrs,3,3,0,5,Off-Campus,3
20,5,Male,3.56,2,5,3,7-8hrs,1,3,5,3,Off-Campus,5
21,1,Male,3.22,4,3,3,4-6hrs,5,5,2,3,With Family,2
18,4,Female,3.38,3,4,2,7-8hrs,1,1,1,5,With Family,4
29,2,Male,3.33,1,2,3,4-6hrs,1,3,0,1,On-Campus,2
26,2,Male,3.89,5,2,2,1-3hrs,1,3,2,3,Off-Campus,2
20,1,Male,3.47,4,3,2,7-8hrs,5,3,2,5,On-Campus,3
23,1,Male,2.97,5,1,1,7-8hrs,3,5,2,3,With Family,1
24,1,Female,3.19,1,3,3,7-8hrs,3,3,1,5,On-Campus,2
19,2,Female,3.41,1,2,1,7-8hrs,5,5,4,1,Off-Campus,2
21,2,Female,3.51,2,2,2,7-8hrs,3,3,1,1,On-Campus,2
22,1,Female,3.88,3,3,2,4-6hrs,3,3,3,1,Off-Campus,2
21,1,Male,3.21,3,1,3,7-8hrs,5,3,1,1,On-Campus,1
22,1,Male,3.47,3,1,2,4-6hrs,3,3,3,3,Off-Campus,1
22,4,Female,3.34,3,4,2,7-8hrs,3,3,5,3,On-Campus,4
28,1,Male,3.68,2,1,5,7-8hrs,5,5,2,5,Off-Campus,1
26,2,Male,3.56,2,2,5,7-8hrs,3,3,4,5,On-Campus,2
20,1,Male,3.35,2,3,5,7-8hrs,1,3,4,5,Off-Campus,3
21,1,Female,3.41,1,3,5,4-6hrs,3,1,4,3,On-Campus,3
24,2,Male,3.4,5,2,2,7-8hrs,3,1,4,3,Off-Campus,2
23,5,Male,3.5,2,5,3,7-8hrs,3,5,3,3,Off-Campus,5
20,2,Male,4,2,2,1,4-6hrs,5,3,2,3,On-Campus,2
19,1,Male,3.76,2,1,1,7-8hrs,5,5,3,5,With Family,1
19,1,Male,3.66,3,3,2,7-8hrs,5,3,0,5,On-Campus,2
18,1,Male,3.49,4,3,3,1-3hrs,3,3,5,1,With Family,2
24,1,Female,3.78,5,3,1,1-3hrs,5,5,2,1,Off-Campus,3
25,5,Male,3.55,4,5,5,7-8hrs,3,5,3,1,On-Campus,5
21,1,Female,3.83,2,3,2,4-6hrs,3,3,0,3,On-Campus,3
30,5,Male,3.54,5,5,1,4-6hrs,3,3,4,3,Off-Campus,5
19,4,Male,3.17,4,4,1,7-8hrs,3,5,2,5,On-Campus,4
19,1,Male,3.65,1,3,1,4-6hrs,3,3,2,5,Off-Campus,2
25,1,Female,3.52,3,3,4,4-6hrs,1,5,0,3,Off-Campus,3
30,1,Male,2.86,5,3,1,7-8hrs,3,1,3,1,On-Campus,3
27,2,Male,3.76,4,2,1,7-8hrs,3,3,5,5,On-Campus,2
25,1,Male,3.4,4,3,5,4-6hrs,1,5,1,3,On-Campus,2
28,2,Female,3.07,4,2,1,4-6hrs,3,3,3,1,On-Campus,2
22,1,Female,3.33,2,3,1,7-8hrs,5,3,1,5,Off-Campus,2
26,2,Male,3.4,4,2,5,4-6hrs,1,5,0,1,With Family,2
19,5,Female,3.63,5,5,1,4-6hrs,1,3,2,1,On-Campus,5
23,1,Female,3.05,2,3,1,7-8hrs,3,3,5,1,On-Campus,2
25,1,Male,3.84,3,1,1,7-8hrs,5,3,3,5,Off-Campus,1
22,4,Female,3.65,2,4,2,7-8hrs,1,3,4,3,Off-Campus,4
24,1,Female,3.93,1,3,1,7-8hrs,3,1,1,3,Off-Campus,2
31,1,Male,3.63,5,3,1,4-6hrs,5,3,4,3,Off-Campus,2
28,2,Female,3.28,4,2,1,4-6hrs,3,3,2,5,On-Campus,2
26,1,Male,3.25,1,1,4,7-8hrs,3,3,4,3,Off-Campus,1
18,2,Female,3.69,5,2,1,7-8hrs,5,3,0,3,On-Campus,2
26,2,Male,3.15,1,2,3,4-6hrs,3,3,2,1,Off-Campus,2
18,1,Female,3.87,1,3,1,7-8hrs,3,5,5,3,Off-Campus,2
29,1,Male,3.34,3,1,4,7-8hrs,5,3,2,5,On-Campus,1
21,1,Male,3.48,3,3,2,4-6hrs,3,1,1,3,Off-Campus,3
21,1,Female,3.4,3,1,5,4-6hrs,1,3,1,1,Off-Campus,1
19,2,Male,3.41,4,2,2,7-8hrs,5,1,1,1,On-Campus,2
26,5,Female,4,3,5,1,4-6hrs,1,5,3,3,Off-Campus,5
25,1,Female,3.55,5,3,4,7-8hrs,3,5,0,3,On-Campus,2
24,1,Female,3.03,4,3,2,7-8hrs,1,3,2,1,Off-Campus,2
23,5,Male,3.54,1,5,2,7-8hrs,5,3,3,5,Off-Campus,5
26,2,Male,3.45,5,2,1,4-6hrs,1,3,5,5,Off-Campus,2
25,4,Female,3.52,1,4,3,7-8hrs,1,5,0,1,Off-Campus,4
24,2,Male,3.94,5,2,3,7-8hrs,5,5,1,3,On-Campus,2
20,1,Female,3.42,5,3,2,4-6hrs,1,1,1,3,On-Campus,2
29,1,Female,3.29,3,1,4,7-8hrs,3,3,1,3,Off-Campus,1
19,4,Male,3.27,1,4,2,7-8hrs,3,3,4,3,On-Campus,4
25,2,Female,3.25,5,2,2,4-6hrs,3,5,0,3,On-Campus,2
26,1,Male,3.68,1,3,1,7-8hrs,5,5,2,3,On-Campus,3
21,4,Female,3.54,5,4,5,7-8hrs,3,5,0,1,With Family,4
20,2,Female,3.6,2,2,1,7-8hrs,3,3,4,3,On-Campus,2
21,1,Female,3.42,5,1,2,7-8hrs,3,3,0,5,On-Campus,1
21,1,Female,3.44,2,3,3,7-8hrs,3,5,3,3,With Family,3
18,5,Female,3.37,1,5,2,7-8hrs,1,3,5,1,With Family,5
23,1,Male,3.69,1,3,5,4-6hrs,3,1,3,3,With Family,3
18,1,Male,4,3,3,3,1-3hrs,3,1,1,5,Off-Campus,2
26,2,Female,3.08,4,2,3,7-8hrs,3,3,0,3,On-Campus,2
20,4,Female,3.13,4,4,3,7-8hrs,1,3,5,1,On-Campus,4
24,4,Female,3.72,3,4,1,7-8hrs,1,3,1,3,Off-Campus,4
31,4,Male,3.49,4,4,1,4-6hrs,3,5,0,5,On-Campus,4
